Comp Depth [cm],Al, Si, P, S, Ar, K, Ca, Ti, Mn, Fe, Ni, Rb,  Zr, Ca_Ti, Si_Ti, Zr_Ti, Ni_Ti, Fe_Ti, Al_Ti, K_Ti, Rb_K,core name
116,720,6930,0,135,9023,73392,636066,33782,6204,151509,1040,2881,797,18.82854775,0.205138831,0.023592446,0.030785625,4.484903203,0.021313125,2.172517909,0.03925496,HIBO19-B-1-1
116.5,854,7820,0,136,8560,79517,638223,37162,6050,165014,883,3014,984,17.17407567,0.210430009,0.026478661,0.023760831,4.440396104,0.022980464,2.139739519,0.037903844,HIBO19-B-1-1
117,789,7417,0,165,9198,74844,751311,35612,4430,160732,958,2688,870,21.09713018,0.208272492,0.024429967,0.026901045,4.513422442,0.022155453,2.101651129,0.035914703,HIBO19-B-1-1
117.5,833,7362,0,115,8924,73710,751786,34101,5176,164970,917,2500,677,22.04586376,0.215888097,0.01985279,0.026890707,4.837688044,0.024427436,2.16152019,0.033916701,HIBO19-B-1-1
118,767,8008,0,146,8531,74724,786222,34477,5607,160725,998,2857,950,22.80424631,0.232270789,0.027554602,0.028946834,4.661803521,0.022246715,2.167357949,0.038234035,HIBO19-B-1-1
118.5,695,7311,0,121,8395,72513,743514,34166,3994,163930,1066,2792,978,21.76180999,0.213984663,0.028624949,0.031200609,4.79804484,0.02034186,2.122373119,0.038503441,HIBO19-B-1-1
119,757,6679,0,72,8539,74548,708981,34836,8109,152419,970,3024,722,20.35196349,0.191726949,0.020725686,0.027844758,4.375330118,0.021730394,2.139970146,0.040564469,HIBO19-B-1-1
119.5,694,6273,0,186,9036,71076,653143,31990,4706,149180,885,3088,755,20.41709909,0.196092529,0.023601125,0.027664895,4.663332291,0.021694279,2.221819319,0.043446452,HIBO19-B-1-1
120,584,6495,0,141,8924,70156,707961,32121,4271,146059,1110,2798,1158,22.04044083,0.202204165,0.036051181,0.034556832,4.54714984,0.018181252,2.18411631,0.039882547,HIBO19-B-1-1
120.5,875,8232,0,133,8840,83422,743574,37634,5257,162171,914,2956,1014,19.75803794,0.218738375,0.026943721,0.024286549,4.309161928,0.023250252,2.216665781,0.035434298,HIBO19-B-1-1
