Comp Depth [cm],Al, Si, P, S, Ar, K, Ca, Ti, Mn, Fe, Ni, Rb,  Zr, Ca_Ti, Si_Ti, Zr_Ti, Ni_Ti, Fe_Ti, Al_Ti, K_Ti, Rb_K,core name
600,1223,12451,0,0,9337,101534,965038,44515,8423,181033,1185,2787,1036,21.67893968,0.279703471,0.023273054,0.02662024,4.066786476,0.027473885,2.280894081,0.027448933,HIBO19-B-3-2
600.5,1188,11989,0,0,9500,103235,1019993,44049,8222,173109,1336,2832,790,23.15587187,0.27217417,0.017934573,0.03032986,3.929918954,0.026969965,2.343640037,0.027432557,HIBO19-B-3-2
601,1193,11986,0,0,9208,100711,1086047,42936,8223,170628,1184,2541,858,25.29455469,0.27915968,0.019983231,0.027575927,3.974007826,0.027785541,2.345607416,0.02523061,HIBO19-B-3-2
601.5,1132,11904,0,0,9683,101848,1074763,43796,9477,173265,1456,2908,913,24.54020915,0.271805644,0.020846653,0.033245045,3.956183213,0.025847109,2.325509179,0.028552353,HIBO19-B-3-2
602,936,10105,0,0,9207,92798,939297,41941,7983,180239,1577,2908,884,22.39567488,0.240933693,0.021077228,0.037600439,4.297441644,0.022317064,2.212584345,0.031336882,HIBO19-B-3-2
602.5,1087,11105,0,0,8887,96470,1022938,43074,8618,173008,1394,2486,885,23.7483865,0.257812137,0.020546037,0.03236291,4.016529693,0.025235641,2.239634118,0.025769669,HIBO19-B-3-2
603,986,9883,0,0,9051,91678,1062999,41158,8553,163598,1317,2414,697,25.82727538,0.240123427,0.016934739,0.031998639,3.974877302,0.02395646,2.227464891,0.02633129,HIBO19-B-3-2
603.5,1006,10027,0,23,9016,92101,1066832,39862,8471,170538,1332,2581,902,26.76313281,0.251542823,0.022628067,0.033415283,4.278209824,0.025237068,2.310496212,0.028023583,HIBO19-B-3-2
604,1128,11007,0,0,9178,102368,954773,44038,9089,174125,1098,3189,577,21.68066216,0.249943231,0.013102321,0.024933012,3.95397157,0.025614242,2.324537899,0.031152313,HIBO19-B-3-2
604.5,993,10291,0,0,9269,102489,948899,44327,9109,174758,1223,2964,766,21.40679496,0.232160985,0.017280664,0.027590408,3.942472985,0.022401696,2.312112257,0.028920177,HIBO19-B-3-2
605,976,9230,0,8,9348,111529,777838,42761,6541,198514,1310,3222,970,18.19036038,0.215850892,0.022684222,0.030635392,4.642407802,0.022824536,2.608194383,0.028889347,HIBO19-B-3-2
605.5,903,9713,0,0,9667,91847,911717,41792,6906,170980,1129,2862,479,21.81558672,0.232412902,0.011461524,0.02701474,4.091213629,0.021607006,2.197717266,0.031160517,HIBO19-B-3-2
606,861,9176,0,0,9682,91562,973508,41030,7232,163282,1188,2938,807,23.72673653,0.223641238,0.019668535,0.028954424,3.97957592,0.020984645,2.231586644,0.032087547,HIBO19-B-3-2
606.5,626,6036,0,21,9261,68748,991816,30746,7778,138989,1000,2479,854,32.25837507,0.19631822,0.027775971,0.032524556,4.520555519,0.020360372,2.235998179,0.036059231,HIBO19-B-3-2
607,581,5167,0,0,9173,57927,776803,28732,9389,136349,1011,2500,851,27.03616177,0.179834331,0.029618544,0.035187248,4.745545037,0.020221356,2.016114437,0.043157768,HIBO19-B-3-2
607.5,838,8671,0,39,9442,83868,1099141,38191,8613,155122,1290,2401,821,28.78010526,0.227043021,0.021497211,0.033777592,4.061742295,0.021942342,2.196014768,0.028628321,HIBO19-B-3-2
608,883,9151,0,81,9170,87188,1012765,39351,7728,178174,1196,2512,1046,25.73670301,0.232548093,0.026581281,0.030393129,4.527813779,0.022439074,2.215648903,0.028811304,HIBO19-B-3-2
608.5,1133,11069,0,0,9684,94167,975597,43814,9587,183558,1301,2714,1005,22.26678687,0.252636144,0.022937874,0.029693705,4.189482814,0.025859314,2.149244534,0.028821137,HIBO19-B-3-2
609,1013,9825,0,41,9450,89896,1051273,40484,9155,180868,1249,2277,1019,25.96761684,0.24268847,0.025170438,0.030851694,4.467641537,0.025022231,2.220531568,0.025329269,HIBO19-B-3-2
609.5,872,9221,0,0,9590,87919,1040152,39695,8926,170072,1261,2427,928,26.20360247,0.232296259,0.023378259,0.031767225,4.284469077,0.021967502,2.214863333,0.027604955,HIBO19-B-3-2
610,897,9061,0,0,9474,90406,965621,40889,8420,170969,1276,2876,817,23.61566681,0.221599941,0.019980924,0.031206437,4.181295703,0.02193744,2.211010296,0.031812048,HIBO19-B-3-2
610.5,1016,10075,0,28,9471,95984,956107,42902,8169,172689,1227,2809,756,22.28583749,0.234837537,0.017621556,0.028600065,4.025196961,0.02368188,2.237284975,0.029265294,HIBO19-B-3-2
611,816,8393,0,0,9749,86860,1035169,39088,8400,163919,1062,2629,793,26.48303827,0.21472063,0.020287556,0.027169464,4.193588825,0.020875972,2.22216537,0.030267096,HIBO19-B-3-2
611.5,703,7396,0,0,9637,79239,1119677,35508,8771,154486,1393,2345,883,31.53309113,0.208291089,0.024867635,0.039230596,4.350737862,0.019798355,2.231581615,0.029594013,HIBO19-B-3-2
612,726,8168,0,11,9593,81612,1162506,34577,9765,152535,1308,2109,812,33.62078839,0.236226393,0.023483819,0.037828614,4.411458484,0.020996616,2.360297307,0.025841788,HIBO19-B-3-2
612.5,873,8684,0,59,9742,83862,1089026,36448,7700,152832,1334,2656,824,29.87889596,0.238257243,0.02260755,0.036600088,4.193151888,0.023951932,2.300866989,0.031671079,HIBO19-B-3-2
613,871,9356,0,27,9979,84891,1046282,38252,7971,163263,1225,2696,1163,27.35234759,0.244588518,0.030403639,0.032024469,4.268090557,0.022770051,2.219256509,0.031758373,HIBO19-B-3-2
613.5,750,8036,0,0,9560,78282,1200028,34958,8786,144646,983,2303,711,34.32770753,0.229875851,0.020338692,0.028119458,4.137708107,0.021454317,2.23931575,0.029419279,HIBO19-B-3-2
614,801,7688,0,26,9619,77472,1154077,33715,8681,151508,1207,2307,880,34.23037224,0.228029067,0.026101142,0.035800089,4.493786149,0.023757971,2.297849622,0.029778501,HIBO19-B-3-2
614.5,814,9069,0,23,9769,85785,1064694,40166,8060,167196,1144,2385,743,26.50734452,0.22578798,0.018498232,0.028481801,4.162625106,0.020265897,2.135761589,0.027802063,HIBO19-B-3-2
615,890,8515,0,15,9899,84717,1150125,37039,7168,150612,1310,2443,875,31.05172926,0.229892816,0.023623748,0.035368125,4.066308486,0.024028726,2.287237776,0.028837187,HIBO19-B-3-2
615.5,770,7985,0,0,9780,82612,1110171,34494,7078,148419,1116,2480,1110,32.18446686,0.231489534,0.032179509,0.032353453,4.302748304,0.022322723,2.394967241,0.030019852,HIBO19-B-3-2
616,848,8443,0,0,9691,85779,1105230,36402,6482,153824,1234,2221,861,30.36179331,0.231937806,0.023652547,0.033899236,4.225701885,0.023295423,2.35643646,0.025892118,HIBO19-B-3-2
616.5,745,8675,0,0,9824,85737,1127328,36198,7699,150102,1095,2513,631,31.14337809,0.239654125,0.017431902,0.03025029,4.146693187,0.020581248,2.368556274,0.029310566,HIBO19-B-3-2
617,915,9449,0,0,9790,90057,997150,38126,8283,175104,1144,2493,945,26.15406809,0.247836122,0.024786235,0.03000577,4.592771337,0.023999371,2.362088863,0.027682468,HIBO19-B-3-2
617.5,1012,9862,0,0,9487,91963,979429,38682,7821,193869,1057,2552,773,25.32001965,0.254950623,0.019983455,0.027325371,5.011865984,0.026162039,2.377410682,0.027750291,HIBO19-B-3-2
618,1205,11357,0,7,9784,106245,989093,43410,7646,167566,1213,2803,758,22.78491131,0.261621746,0.017461414,0.02794287,3.860078323,0.027758581,2.44747754,0.026382418,HIBO19-B-3-2
618.5,1449,13036,0,14,9874,148775,645787,50009,6285,206747,879,4366,740,12.91341559,0.260673079,0.014797336,0.017576836,4.134195845,0.028974785,2.974964506,0.029346328,HIBO19-B-3-2
619,1093,10285,0,0,10210,99493,1053411,38342,7634,146634,1150,2598,606,27.47407543,0.268243701,0.015805122,0.029993219,3.824370142,0.028506599,2.594882896,0.02611239,HIBO19-B-3-2
619.5,1336,11541,0,0,10204,119994,896366,47647,6858,164846,1290,3309,838,18.81264298,0.242218818,0.017587676,0.027074107,3.459735135,0.028039541,2.518395702,0.027576379,HIBO19-B-3-2
620,1141,9124,0,139,9307,119652,805123,45290,11957,156450,1268,3444,927,17.77705895,0.201457275,0.020468095,0.02799735,3.454404946,0.025193199,2.641907706,0.028783472,HIBO19-A-3-1
620.5,1035,8653,0,199,9406,121545,493558,58859,9294,238988,967,3967,1353,8.385429586,0.147012352,0.022987139,0.016429093,4.06034761,0.017584397,2.065019793,0.032638118,HIBO19-A-3-1
621,801,7019,0,111,9215,95920,650344,43434,9827,167302,1106,2845,961,14.97315467,0.16160151,0.022125524,0.025463922,3.851867201,0.018441774,2.20840816,0.029660133,HIBO19-A-3-1
621.5,894,7729,0,81,9665,90064,1013239,37843,11555,144442,996,2522,706,26.77480644,0.204238565,0.018656026,0.026319266,3.816874983,0.02362392,2.379938166,0.028002309,HIBO19-A-3-1
622,823,7728,0,59,9641,82287,1027077,36503,10670,140949,1360,2309,836,28.13678328,0.211708627,0.022902227,0.037257212,3.861299071,0.022546092,2.254253075,0.028060325,HIBO19-A-3-1
622.5,743,7629,0,22,9524,80634,956790,36586,9736,143419,1098,2680,871,26.1518067,0.208522386,0.023806921,0.03001148,3.920051386,0.020308315,2.203957798,0.0332366,HIBO19-A-3-1
623,813,7767,0,30,9295,85430,943712,35541,10830,137963,1287,2439,930,26.55277004,0.218536338,0.026166962,0.036211699,3.881798486,0.022874989,2.403702766,0.02854969,HIBO19-A-3-1
623.5,1077,9160,0,141,9747,114621,482219,48698,8347,188253,933,4230,1102,9.902234178,0.188098074,0.022629266,0.019158898,3.865723438,0.022115898,2.353710625,0.036904232,HIBO19-A-3-1
624,771,6708,0,0,9455,76295,987840,33279,10147,136253,1201,2454,471,29.68358424,0.201568557,0.01415307,0.036088825,4.09426365,0.023167763,2.292586917,0.032164624,HIBO19-A-3-1
624.5,749,7658,0,4,9290,82480,1000013,35029,11830,151426,1227,2149,910,28.54814582,0.218618859,0.025978475,0.03502812,4.322875332,0.021382283,2.354620457,0.026054801,HIBO19-A-3-1
625,996,8901,0,0,9458,108685,796269,41353,11073,167995,1245,2787,592,19.25541073,0.21524436,0.014315769,0.030106643,4.062462216,0.024085314,2.62822528,0.025642913,HIBO19-A-3-1
625.5,777,7409,0,8,9588,81508,1157912,32650,9830,135566,1256,2241,750,35.46437979,0.226921899,0.022970904,0.038468606,4.152098009,0.023797856,2.496416539,0.027494234,HIBO19-A-3-1
626,603,7565,0,0,9395,80251,1075931,35921,9440,145176,1193,1995,669,29.95270176,0.210601041,0.018624203,0.03321177,4.041535592,0.016786838,2.234097046,0.024859503,HIBO19-A-3-1
626.5,824,7858,0,62,9432,89414,921135,38880,9195,150133,1209,2655,809,23.69174383,0.202109053,0.020807613,0.031095679,3.861445473,0.021193416,2.299742798,0.029693337,HIBO19-A-3-1
627,780,7635,0,138,9438,81809,1076811,35482,11525,133487,1153,2457,1040,30.34809199,0.215179528,0.029310636,0.03249535,3.762104729,0.021982977,2.305647934,0.03003337,HIBO19-A-3-1
627.5,792,7022,0,96,9393,74907,1125455,32883,9995,139691,1172,2348,718,34.22604385,0.213544993,0.021834991,0.035641517,4.24812213,0.024085394,2.277985585,0.031345535,HIBO19-A-3-1
628,793,7527,0,0,9684,77972,1033695,34574,10768,147862,1045,2210,951,29.89804477,0.217706947,0.027506219,0.030225025,4.2766819,0.022936311,2.255220686,0.028343508,HIBO19-A-3-1
628.5,787,7746,0,0,9563,84498,971794,37267,11826,158124,1170,2581,975,26.07652883,0.20785145,0.026162557,0.031395068,4.243003193,0.021117879,2.267367913,0.030545102,HIBO19-A-3-1
629,915,8710,0,107,9919,93579,790479,41174,9991,176679,1027,2985,881,19.19849905,0.211541264,0.021396998,0.024942925,4.291033176,0.022222762,2.272769223,0.031898182,HIBO19-A-3-1
629.5,997,8716,0,31,9867,93174,898249,40447,10168,161603,1090,2841,949,22.20805004,0.215491878,0.023462803,0.026948847,3.995426113,0.024649541,2.30360719,0.030491339,HIBO19-A-3-1
630,884,7396,0,177,9840,89238,935211,35985,11203,158666,1105,2801,685,25.98891205,0.205530082,0.019035709,0.030707239,4.409226066,0.024565791,2.479866611,0.031387974,HIBO19-A-3-1
630.5,755,7554,0,0,9996,80233,1011121,34378,9535,151331,1276,2179,1062,29.41186224,0.219733551,0.030891849,0.037116761,4.401972192,0.02196172,2.333847228,0.027158401,HIBO19-A-3-1
631,723,7685,0,50,9920,82522,1013969,33379,9584,145883,1367,2302,692,30.37745289,0.230234579,0.020731598,0.040953893,4.370502412,0.021660325,2.472272986,0.027895591,HIBO19-A-3-1
631.5,631,6268,0,61,10036,71143,1188846,29581,9103,126426,1488,1977,639,40.18951354,0.211892769,0.021601704,0.050302559,4.273892025,0.02133126,2.405023495,0.027789101,HIBO19-A-3-1
632,662,6633,0,0,10283,74586,1081888,32084,9043,140251,1142,2332,721,33.72048373,0.206738561,0.02247226,0.035594066,4.371368907,0.020633337,2.324710136,0.031265921,HIBO19-A-3-1
632.5,644,6064,0,0,9894,72429,1156704,31679,8320,124343,1362,2136,1008,36.51327378,0.191420184,0.031819186,0.042993781,3.925092332,0.020328925,2.286341109,0.02949095,HIBO19-A-3-1
633,711,6285,0,44,9780,74315,1037818,33461,11852,138579,1403,2294,912,31.01574968,0.187830609,0.027255611,0.04192941,4.141508024,0.021248618,2.220943785,0.0308686,HIBO19-A-3-1
633.5,668,6208,0,82,9661,72963,951248,33686,10288,153866,1099,2365,783,28.23867482,0.18429021,0.023244078,0.032624829,4.567654218,0.019830197,2.165973995,0.032413689,HIBO19-A-3-1
634,709,5989,0,28,10018,70870,1057000,31333,10578,135654,1250,2322,844,33.73440143,0.191140331,0.026936457,0.039894041,4.329429036,0.0226279,2.261832573,0.032764216,HIBO19-A-3-1
634.5,575,6503,0,26,9739,75157,991936,33111,10739,141319,1423,2153,894,29.95789919,0.196399988,0.027000091,0.042976654,4.268037812,0.01736583,2.269849899,0.0286467,HIBO19-A-3-1
635,714,6665,0,0,9851,73804,1092597,32309,10339,131419,1302,1973,818,33.81710978,0.206289269,0.025318023,0.040298369,4.067566313,0.022099106,2.284317063,0.026732968,HIBO19-A-3-1
635.5,599,5726,0,34,9906,71630,1017932,30818,9855,139385,1294,2499,676,33.03043676,0.185800506,0.021935233,0.041988448,4.522843793,0.019436693,2.324290999,0.034887617,HIBO19-A-3-1
636,604,5654,0,102,9891,69509,1029484,29300,10699,124437,1182,2187,806,35.1359727,0.192969283,0.027508532,0.040341297,4.246996587,0.020614334,2.372320819,0.031463551,HIBO19-A-3-1
636.5,605,5806,0,67,9639,71016,990989,31220,9739,134756,1277,2330,922,31.74212044,0.185970532,0.029532351,0.040903267,4.316335682,0.019378603,2.274695708,0.032809508,HIBO19-A-3-1
637,717,6433,0,80,9829,73649,938432,33416,10550,140637,1154,2637,724,28.08331338,0.192512569,0.021666268,0.034534355,4.208672492,0.021456787,2.20400407,0.035804967,HIBO19-A-3-1
637.5,666,6356,0,0,9871,74693,942308,33418,9712,143867,1242,2047,668,28.19761805,0.1901969,0.019989227,0.037165599,4.305075109,0.019929379,2.235112813,0.027405513,HIBO19-A-3-1
638,638,6224,0,9,9753,71057,1052907,31120,10288,137724,1311,1915,767,33.83377249,0.2,0.02464653,0.042127249,4.425578406,0.020501285,2.283322622,0.026950195,HIBO19-A-3-1
638.5,752,7663,0,72,9669,80404,940651,36616,10994,155571,1033,2567,1049,25.68961656,0.209280096,0.028648678,0.028211711,4.248716408,0.02053747,2.195870658,0.031926272,HIBO19-A-3-1
639,678,6697,0,0,9853,79435,1087543,35077,9225,138092,1314,2261,935,31.00444736,0.190922827,0.026655643,0.037460444,3.9368247,0.019328905,2.264589332,0.028463524,HIBO19-A-3-1
639.5,688,7782,0,104,10026,86808,824210,35368,7780,140296,1210,2657,569,23.30383397,0.220029405,0.016087989,0.034211717,3.966749604,0.019452613,2.454422076,0.030607778,HIBO19-A-3-1
640,662,6872,0,24,9834,86905,772070,39361,9917,188400,1004,2674,1112,19.61510124,0.17458906,0.028251315,0.025507482,4.786463759,0.016818678,2.207896141,0.030769231,HIBO19-A-3-1
640.5,727,7319,0,103,9891,85755,885522,40111,10423,160328,983,2416,1208,22.07678692,0.182468649,0.030116427,0.024506993,3.997108025,0.018124704,2.13794221,0.028173284,HIBO19-A-3-1
641,773,7452,0,95,9694,81329,945151,38631,11406,182933,1020,2536,1149,24.46612824,0.192902073,0.029742953,0.026403665,4.735393855,0.020009837,2.105278144,0.031181989,HIBO19-A-3-1
641.5,681,7167,0,164,9809,78025,974727,37633,9981,156102,1178,2130,1146,25.90085829,0.190444557,0.030451997,0.031302314,4.148008397,0.01809582,2.073313315,0.027298943,HIBO19-A-3-1
642,659,7494,0,87,9898,72071,1037960,38534,11160,159030,1175,1950,2240,26.93621218,0.194477604,0.058130482,0.030492552,4.127004723,0.01710178,1.870322313,0.027056652,HIBO19-A-3-1
642.5,435,6419,0,131,9948,35948,878138,24958,8170,160073,898,1277,2110,35.18463018,0.257192083,0.084542031,0.035980447,6.413695008,0.017429281,1.440339771,0.035523534,HIBO19-A-3-1
643,555,6115,0,94,9687,70950,1043983,31632,8224,152184,942,2401,683,33.00401492,0.193316894,0.021592059,0.02977997,4.81107739,0.017545524,2.242981791,0.033840733,HIBO19-A-3-1
643.5,718,7131,0,117,10046,82495,961685,36502,10733,145353,1047,2531,961,26.34609063,0.195359158,0.026327325,0.02868336,3.982055778,0.019670155,2.26001315,0.030680647,HIBO19-A-3-1
644,768,7276,0,84,10048,80650,930730,37296,9656,158791,1202,2435,611,24.95522308,0.195087945,0.016382454,0.032228657,4.257587945,0.020592021,2.162430287,0.030192188,HIBO19-A-3-1
644.5,893,7749,0,40,10072,86835,831097,40540,10758,162868,1152,2595,862,20.50066601,0.191144549,0.02126295,0.028416379,4.017464233,0.022027627,2.141958559,0.029884263,HIBO19-A-3-1
645,680,6791,0,11,10072,80365,878986,37065,11550,154948,1063,2707,881,23.71471739,0.18321867,0.023769054,0.028679347,4.180439768,0.018346149,2.168217995,0.033683818,HIBO19-A-3-1
645.5,662,6378,0,15,10090,75946,920138,34133,11545,159584,1122,2694,865,26.95743122,0.186857294,0.025342044,0.032871415,4.675358158,0.019394721,2.225002197,0.035472573,HIBO19-A-3-1
646,792,7094,0,0,10141,81859,983276,33950,10199,138447,1231,2500,784,28.96247423,0.208954345,0.023092784,0.036259205,4.077967599,0.023328424,2.411163476,0.030540319,HIBO19-A-3-1
646.5,776,7209,0,0,10059,81065,1005481,36235,8867,135122,1323,2458,1002,27.7488892,0.19895129,0.027652822,0.03651166,3.729046502,0.021415758,2.237201601,0.030321347,HIBO19-A-3-1
647,856,7075,0,0,9875,79716,993078,35912,9504,148587,1078,2439,803,27.65309646,0.197009356,0.022360214,0.030017821,4.13753063,0.023836044,2.219759412,0.030596116,HIBO19-A-3-1
647.5,634,6730,0,0,9689,74040,1097070,32835,10754,140044,1306,2321,778,33.41160347,0.204964215,0.023694229,0.039774631,4.265082991,0.019308665,2.254910918,0.03134792,HIBO19-A-3-1
648,749,7172,0,0,9755,79486,1022579,35552,10642,140799,1169,2514,955,28.76291067,0.201732673,0.026862061,0.032881413,3.960367912,0.021067732,2.235767327,0.031628211,HIBO19-A-3-1
648.5,707,7005,0,22,9704,80413,1012131,36215,10781,142004,1140,2470,822,27.94783929,0.193428138,0.022697777,0.031478669,3.92113765,0.019522297,2.220433522,0.030716426,HIBO19-A-3-1
649,891,7507,0,64,9885,90516,886999,39869,10212,147132,1270,2812,882,22.24783667,0.188291655,0.022122451,0.031854323,3.690386014,0.02234819,2.270335348,0.031066331,HIBO19-A-3-1
649.5,845,6967,0,62,9953,82392,945783,35586,9978,147778,1226,2370,854,26.57738998,0.195779239,0.023998202,0.034451751,4.1527005,0.023745293,2.315292531,0.028764929,HIBO19-A-3-1
650,670,6590,0,25,9677,74620,1003591,34172,10808,148599,1162,2343,836,29.36881072,0.192847946,0.024464474,0.034004448,4.348560225,0.019606696,2.183659136,0.031399089,HIBO19-A-3-1
650.5,689,6590,0,42,9944,79972,912406,36966,9565,149358,1424,2557,778,24.68230266,0.178271926,0.021046367,0.038521885,4.040415517,0.018638749,2.163393389,0.031973691,HIBO19-A-3-1
651,719,7097,0,125,9912,83268,895072,37916,10905,159081,1198,2545,890,23.60670957,0.187176917,0.02347294,0.03159616,4.195616626,0.018962971,2.196117734,0.030563962,HIBO19-A-3-1
651.5,662,6547,0,82,9945,79178,1018128,34726,8270,145563,1278,2616,869,29.3188965,0.188533088,0.025024477,0.036802396,4.191758337,0.019063526,2.280078327,0.033039481,HIBO19-A-3-1
652,703,6403,0,0,9870,79001,1035496,33902,9225,137260,1216,2459,911,30.54380273,0.188867913,0.026871571,0.03586809,4.048728689,0.02073624,2.3302755,0.031126188,HIBO19-A-3-1
652.5,583,5623,0,80,9939,70419,1168111,30886,9807,135051,1217,1940,704,37.8200803,0.182056595,0.022793499,0.039402966,4.372563621,0.018875866,2.279965033,0.027549383,HIBO19-A-3-1
653,495,5677,0,62,10087,65921,1256589,30412,9424,137846,1501,1982,771,41.3188544,0.186669736,0.025351835,0.049355518,4.532618703,0.01627647,2.167598316,0.030066291,HIBO19-A-3-1
653.5,476,5891,0,169,10385,52326,1485755,25228,9258,111680,1629,1470,947,58.89309497,0.233510385,0.037537657,0.064571111,4.426827335,0.018867925,2.074123989,0.028093109,HIBO19-A-3-1
654,424,6388,0,292,10253,41762,1359426,19775,8368,126860,1535,1199,938,68.74467762,0.323034134,0.047433628,0.077623262,6.41517067,0.021441214,2.111858407,0.028710311,HIBO19-A-3-1
654.5,727,7311,0,16,9966,76097,1256380,31638,9809,129275,1280,2084,1074,39.7111069,0.231082875,0.03394652,0.040457677,4.086067387,0.022978697,2.405240534,0.027386099,HIBO19-A-3-1
655,885,8514,0,175,10127,91802,1138135,33279,8734,125864,1184,2069,899,34.19979567,0.255837014,0.027014033,0.035577992,3.782084798,0.026593347,2.758556447,0.022537635,HIBO19-A-3-1
655.5,1443,11839,0,209,9935,119206,971433,42299,9023,148252,1218,3156,881,22.96586208,0.279888413,0.020827916,0.028795007,3.504858271,0.034114282,2.818175371,0.026475177,HIBO19-A-3-1
656,1069,10617,0,51,10167,85388,1277129,33079,10629,127044,1364,1959,408,38.60845249,0.320958917,0.012334109,0.04123462,3.840623961,0.032316575,2.581335591,0.022942334,HIBO19-A-3-1
656.5,1162,11667,0,139,10135,94539,1085145,39209,10989,159321,1298,2310,949,27.67591624,0.297559234,0.024203627,0.033104644,4.063378306,0.029636053,2.411155602,0.02443436,HIBO19-A-3-1
657,1191,11394,0,170,9932,95708,1235927,35920,10535,137043,1230,2497,744,34.40776726,0.3172049,0.020712695,0.034242762,3.815228285,0.033157016,2.664476615,0.026089773,HIBO19-A-3-1
657.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HIBO19-A-3-1
658,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HIBO19-A-3-1
658.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HIBO19-A-3-1
659,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HIBO19-A-3-2
659.5,980,9143,0,99,9104,82662,1086046,35598,6330,150793,1024,2255,878,30.50862408,0.256840272,0.024664307,0.028765661,4.235996404,0.027529636,2.322096747,0.027279766,HIBO19-A-3-2
660,871,9319,0,15,8909,84995,1118610,36053,6321,152744,1332,2344,692,31.02682162,0.25848057,0.019193964,0.036945608,4.236651596,0.024158877,2.357501456,0.027578093,HIBO19-A-3-2
660.5,1013,10468,0,0,8843,89281,1084843,39007,5059,167316,1122,2557,799,27.81149537,0.268362089,0.020483503,0.028764068,4.289383957,0.025969698,2.288845592,0.028639912,HIBO19-A-3-2
661,1110,10829,0,73,8850,99132,1008823,39982,4933,154921,1227,2795,661,25.23192937,0.270846881,0.01653244,0.03068881,3.874768646,0.027762493,2.479415737,0.02819473,HIBO19-A-3-2
661.5,1026,9809,0,107,8893,96231,1052089,39799,4101,153983,1241,2828,796,26.43506118,0.246463479,0.020000503,0.031181688,3.869016809,0.025779542,2.417925073,0.029387619,HIBO19-A-3-2
662,933,9226,0,96,8954,87394,1044532,37557,5995,158924,1286,2573,752,27.81191256,0.245653274,0.020022899,0.034241287,4.23154139,0.02484224,2.326969673,0.02944138,HIBO19-A-3-2
662.5,1046,9993,0,20,9138,90398,1108415,35850,5274,145377,1128,2367,602,30.9181311,0.27874477,0.01679219,0.031464435,4.055146444,0.029177127,2.521562064,0.026184208,HIBO19-A-3-2
663,1070,10546,0,0,9015,93554,1070351,38073,6457,152108,1063,2730,928,28.11312479,0.276994195,0.024374228,0.027920048,3.995167179,0.028103906,2.457226906,0.029181008,HIBO19-A-3-2
663.5,924,9476,0,0,9118,85517,1187347,33364,6469,138817,1224,2306,609,35.58766934,0.284018703,0.018253207,0.036686249,4.160682172,0.027694521,2.5631519,0.026965399,HIBO19-A-3-2
664,1000,9878,0,39,8960,90446,1071618,37102,6798,161314,1311,2496,930,28.88302517,0.266239017,0.025066034,0.035335022,4.347851868,0.026952725,2.437766158,0.027596577,HIBO19-A-3-2
664.5,991,9630,0,9,9175,92397,1043031,38144,5888,152963,1430,2626,824,27.34456271,0.252464346,0.021602349,0.037489513,4.010145763,0.025980495,2.42232068,0.028420836,HIBO19-A-3-2
665,1068,10368,0,18,9216,94970,1051590,38715,6596,157849,1074,2585,828,27.16234018,0.267803177,0.021387059,0.027741186,4.077205218,0.027586207,2.453054372,0.027219122,HIBO19-A-3-2
665.5,1085,10964,0,0,9352,95740,1059318,38919,3995,146493,1016,2827,834,27.21853079,0.281713302,0.021429122,0.026105501,3.764048408,0.027878414,2.459980986,0.029527888,HIBO19-A-3-2
666,1247,11428,0,0,9442,111337,867223,39704,4207,154218,1213,3262,870,21.84220733,0.287829942,0.02191215,0.030551078,3.884193028,0.031407415,2.804175902,0.029298436,HIBO19-A-3-2
666.5,1903,12995,0,115,9336,178190,302956,63363,4126,223381,1100,5868,962,4.781276139,0.205088143,0.015182362,0.017360289,3.525417041,0.0300333,2.812209018,0.032931141,HIBO19-A-3-2
667,1923,12831,0,134,9760,168901,351802,76066,2893,244563,932,4929,1456,4.624957274,0.16868246,0.019141272,0.012252518,3.215142113,0.025280677,2.220453291,0.029182776,HIBO19-A-3-2
667.5,1566,11896,0,337,9514,143636,541268,74210,4350,252299,1206,3908,1562,7.293733998,0.160301846,0.021048376,0.016251179,3.399797871,0.021102277,1.935534295,0.027207664,HIBO19-A-3-2
668,1566,11582,0,418,9679,133710,657272,72480,6256,259358,877,3597,1581,9.068322296,0.159795806,0.021812914,0.01209989,3.578338852,0.02160596,1.844784768,0.026901503,HIBO19-A-3-2
668.5,1083,9515,0,324,9286,99339,929806,48463,5444,208314,1010,2696,1158,19.18589439,0.196335349,0.023894517,0.020840641,4.298413222,0.022346945,2.049790562,0.027139391,HIBO19-A-3-2
669,799,7729,0,121,9510,83319,1105835,34547,5652,149724,1139,2361,843,32.00958115,0.223724202,0.02440154,0.032969578,4.333921903,0.023127913,2.411757895,0.028336874,HIBO19-A-3-2
669.5,943,9896,0,0,9314,88049,1053116,37201,6846,156330,1105,2208,945,28.3088089,0.266014354,0.025402543,0.029703503,4.20230639,0.025348781,2.366844977,0.025076946,HIBO19-A-3-2
670,1069,10599,0,0,9538,93849,1022799,38019,5399,156763,1191,2523,1040,26.902312,0.278781662,0.027354744,0.031326442,4.123280465,0.02811752,2.468476288,0.026883611,HIBO19-A-3-2
