tax_name,genus,family,indicated_type,source
Cerealia undiff.,,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Avena type,Avena,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Hordeum type,Hordeum,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Secale cereale,Secale,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Triticum type,Triticum,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Zea mays,Zea,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Cannabis type,Cannabis,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Cannabis type cf. C. sativa ,Cannabis,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Fagopyrum esculentum ,Fagopyrum,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Linum usitatissimum type ,Linum,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Agrostemma githago ,Agrostemma,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Anagallis arvensis type ,Anagallis,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Centaurea cyanus,Centaurea,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Faloppia convolvulus type  ,Faloppia,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Polygonum avicuiare type ,Polygonum,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
P. persicaria group ,Polygonum,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Ranunculus arvensis ,Ranunculus,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Scleranthus annuus ,Scleranthus,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Trifolium type cf. T. arvense,Trifolium,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Valeriana locusta type ,Valeriana,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Viola arvensis type ,Viola,,(j) Cultivated land ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
